Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2015,3.06,5.24,21800,Petrol,Dealer,Manual,0
Royal Enfield Classic 350,2015,0.86,1.3,26900,Petrol,Individual,Manual,0
creta,2018,10.59,12.21,11500,Petrol,Dealer,Manual,0
ritz,2014,2.91,5.12,54600,Petrol,Dealer,Manual,0
Yamaha FZ  v 2.0,2017,0.65,0.92,21300,Petrol,Individual,Manual,0
Honda Activa 4G,2016,0.32,0.47,6000,Petrol,Individual,Automatic,0
Honda Activa 125,2015,0.32,0.55,27800,Petrol,Individual,Automatic,0
Bajaj Pulsar 150,2005,0.11,0.81,104300,Petrol,Individual,Manual,0
brio,2017,5.32,6.68,19300,Petrol,Dealer,Automatic,0
ciaz,2017,6.86,9.7,22000,Diesel,Dealer,Manual,0
city,2016,9.18,13.54,31200,Petrol,Dealer,Manual,0
city,2005,0.82,8.46,59600,Petrol,Dealer,Manual,1
corolla altis,2011,6.06,16.44,50500,Petrol,Dealer,Manual,0
Bajaj Avenger 220,2018,0.83,0.96,2500,Petrol,Individual,Manual,0
innova,2016,18.45,25.09,17800,Diesel,Dealer,Automatic,0
eon,2014,2.59,4.83,36600,Petrol,Dealer,Manual,0
alto k10,2017,2.86,3.78,8200,Petrol,Dealer,Manual,0
city,2017,8.2,10.46,12800,Diesel,Dealer,Manual,0
Royal Enfield Thunder 350,2016,1.03,1.47,9400,Petrol,Individual,Manual,0
etios cross,2013,4.11,8.15,82700,Diesel,Dealer,Manual,0
jazz,2016,5.33,7.67,16100,Petrol,Dealer,Automatic,0
ciaz,2016,7.39,11.28,40900,Diesel,Dealer,Manual,0
Bajaj Discover 100,2014,0.29,0.5,15700,Petrol,Individual,Manual,0
eon,2014,2.51,4.51,32300,Petrol,Dealer,Manual,0
corolla altis,2008,3.85,23.86,80500,Petrol,Dealer,Automatic,0
Hero  CBZ Xtreme,2008,0.18,0.88,51500,Petrol,Individual,Manual,0
innova,2013,6.86,14.28,68900,Diesel,Dealer,Manual,0
ciaz,2013,6.33,12.05,18500,Petrol,Dealer,Automatic,0
Bajaj Pulsar RS200,2017,0.94,1.26,3800,Petrol,Individual,Manual,0
swift,2013,2.24,4.49,16000,Petrol,Dealer,Manual,1
corolla altis,2009,4.02,15.47,67200,Petrol,Dealer,Automatic,0
ertiga,2013,3.66,7.03,38400,Petrol,Dealer,Manual,0
jazz,2010,2.18,7.56,56500,Petrol,Dealer,Manual,0
i20,2010,2.01,7.35,50900,Diesel,Dealer,Manual,0
ciaz,2015,6.05,10.37,16300,Petrol,Dealer,Automatic,0
KTM RC200,2017,1.37,1.8,4600,Petrol,Individual,Manual,0
alto k10,2013,1.85,3.85,56900,Petrol,Dealer,Manual,0
verna,2014,4.63,8.29,41300,Diesel,Dealer,Manual,0
corolla altis,2006,2.95,24.65,89900,Petrol,Dealer,Automatic,0
i20,2016,4.96,7.74,58200,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2014,0.99,1.75,17600,Petrol,Individual,Manual,1
swift,2010,1.55,5.31,20100,Petrol,Dealer,Manual,0
verna,2014,4.91,9.47,33000,Petrol,Dealer,Automatic,0
Honda CB Hornet 160R,2018,0.67,0.83,7700,Petrol,Individual,Manual,0
ciaz,2015,5.27,9.02,38600,Diesel,Dealer,Manual,0
Royal Enfield Thunder 500,2014,1.02,1.73,4500,Petrol,Individual,Manual,0
corolla altis,2010,7.94,24.59,84500,Petrol,Dealer,Automatic,0
Honda CBR 150,2013,0.53,1.17,30900,Petrol,Individual,Manual,0
amaze,2015,4.27,6.5,26200,Petrol,Dealer,Manual,0
corolla,2004,1.57,11.93,150400,Petrol,Dealer,Automatic,0
amaze,2015,4.61,7.45,28500,Petrol,Dealer,Manual,0
Bajaj Pulsar NS 200,2011,0.32,0.96,14800,Petrol,Individual,Manual,0
alto k10,2014,2.18,4.16,15700,Petrol,Dealer,Manual,0
dzire,2011,2.99,7.2,67900,Petrol,Dealer,Manual,0
innova,2017,19.65,27.09,19400,Diesel,Dealer,Automatic,0
ciaz,2015,5.8,9.47,37300,Diesel,Dealer,Manual,0
verna,2013,4.57,9.41,32000,Petrol,Dealer,Manual,0
Bajaj Pulsar 135 LS,2015,0.4,0.66,12100,Petrol,Individual,Manual,0
corolla altis,2012,6.44,15.25,74500,Petrol,Dealer,Manual,0
eon,2016,2.85,4.44,15500,Petrol,Dealer,Manual,0
Yamaha FZ S ,2014,0.49,0.84,4400,Petrol,Individual,Manual,1
KTM RC390,2016,1.49,2.3,15100,Petrol,Individual,Manual,0
city,2016,9.54,14.38,42600,Diesel,Dealer,Manual,0
Royal Enfield Classic 350,2016,1.07,1.59,13900,Petrol,Individual,Manual,0
Bajaj Pulsar 220 F,2009,0.25,1,45100,Petrol,Individual,Manual,1
amaze,2013,3.1,6.46,25000,Petrol,Dealer,Manual,0
ertiga,2015,6.06,9.58,46800,Diesel,Dealer,Manual,0
Honda Karizma,2010,0.36,1.15,204200,Petrol,Individual,Manual,0
Honda Activa 4G,2016,0.35,0.51,6600,Petrol,Individual,Automatic,0
Yamaha FZ S V 2.0,2015,0.48,0.76,66600,Petrol,Individual,Manual,0
Honda CBR 150,2012,0.5,1.18,39900,Petrol,Individual,Manual,0
jazz,2017,6.74,8.68,10600,Petrol,Dealer,Automatic,0
Hero  Ignitor Disc,2013,0.3,0.65,24000,Petrol,Individual,Manual,0
jazz,2018,6.79,8.52,7700,Petrol,Dealer,Manual,0
TVS Apache RTR 180,2014,0.42,0.73,20600,Petrol,Individual,Manual,0
i20,2011,2.19,6.29,39400,Petrol,Dealer,Manual,0
verna,2011,3.3,9.74,62200,Diesel,Dealer,Manual,0
corolla,2005,1.06,13.26,144300,Petrol,Dealer,Automatic,1
i20,2013,3.63,6.85,94200,Diesel,Dealer,Manual,0
Royal Enfield Thunder 350,2015,1,1.53,10600,Petrol,Individual,Manual,1
alto 800,2016,2.33,3.5,2900,Petrol,Dealer,Manual,0
city,2015,8.65,14.49,35000,Petrol,Dealer,Manual,0
city,2012,5.5,13.81,61300,Petrol,Dealer,Manual,0
Royal Enfield Classic 350,2015,0.93,1.56,18000,Petrol,Individual,Manual,0
city,2016,9.98,15.18,17600,Petrol,Dealer,Manual,0
grand i10,2018,5.23,6.14,13500,Petrol,Dealer,Manual,0
baleno,2015,4.75,7.97,32000,Petrol,Dealer,Automatic,0
swift,2015,4.11,6.4,40500,Petrol,Dealer,Manual,0
Bajaj Pulsar 135 LS,2015,0.38,0.63,12300,Petrol,Individual,Manual,0
Hero Hunk,2005,0.1,0.77,52200,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2011,0.34,0.9,24800,Petrol,Individual,Manual,0
verna,2010,2.49,9.36,82600,Diesel,Dealer,Manual,0
i20,2014,4.46,7.59,10800,Petrol,Dealer,Manual,0
corolla altis,2011,7.04,19.63,71900,Petrol,Dealer,Manual,0
alto k10,2014,1.73,3.38,12900,Petrol,Dealer,Manual,1
ciaz,2014,5.66,9.36,68900,Diesel,Dealer,Manual,0
ciaz,2015,7.25,11.31,54600,Diesel,Dealer,Manual,0
Honda CB twister,2012,0.22,0.56,27600,Petrol,Individual,Manual,0
swift,2009,1.27,5.24,27600,Petrol,Dealer,Manual,0
i20,2015,4.05,6.91,22700,Petrol,Dealer,Manual,0
grand i10,2018,4.93,6.04,11600,Petrol,Dealer,Manual,0
KTM RC200,2015,1.06,1.82,6100,Petrol,Individual,Manual,0
jazz,2016,5.77,8.28,11700,Petrol,Dealer,Manual,0
wagon r,2012,1.75,3.97,4800,Petrol,Dealer,Manual,1
grand i10,2017,3.83,5.05,16500,Petrol,Dealer,Manual,0
corolla altis,2013,10.11,20.83,60200,Petrol,Dealer,Manual,0
verna,2013,4.35,9.58,45600,Diesel,Dealer,Manual,0
fortuner,2016,21.96,32.84,7700,Diesel,Dealer,Automatic,0
TVS Apache RTR 160,2011,0.26,0.72,18300,Petrol,Individual,Manual,3
Bajaj Avenger 220 dtsi,2017,0.78,1.02,9200,Petrol,Individual,Manual,0
amaze,2016,5.28,7.53,21800,Petrol,Dealer,Manual,0
Bajaj Pulsar NS 200,2013,0.42,0.89,11000,Petrol,Individual,Manual,0
xcent,2014,3.53,6.67,30700,Petrol,Dealer,Manual,0
city,2016,9.65,14.58,20800,Petrol,Dealer,Manual,0
ciaz,2018,8.06,9.95,9100,Diesel,Dealer,Manual,0
Honda Activa 125,2016,0.44,0.64,26900,Petrol,Individual,Automatic,0
brio,2016,4.08,5.85,26000,Petrol,Dealer,Manual,0
corolla altis,2017,13.66,18.15,8100,Petrol,Dealer,Manual,0
Hero  CBZ Xtreme,2010,0.26,0.86,45500,Petrol,Individual,Manual,0
i10,2011,1.63,4.46,20900,Petrol,Dealer,Manual,1
dzire,2014,4.21,7.52,51100,Petrol,Dealer,Manual,0
verna,2015,6.5,10.32,62700,Diesel,Dealer,Manual,0
eon,2017,3.25,4.45,9900,Petrol,Dealer,Manual,0
etios g,2016,5.07,7.14,29000,Petrol,Dealer,Manual,0
Hero Splender iSmart,2013,0.31,0.57,17800,Petrol,Individual,Manual,1
i10,2011,1.93,4.96,34300,Petrol,Dealer,Manual,0
etios gd,2016,5.43,8.48,32100,Diesel,Dealer,Manual,0
verna,2013,4.35,9.01,87500,Diesel,Dealer,Manual,0
Bajaj Pulsar NS 200,2010,0.31,0.94,15500,Petrol,Individual,Manual,0
fortuner,2013,19.92,38.15,52000,Diesel,Dealer,Automatic,0
verna,2013,4.51,10.01,55900,Petrol,Dealer,Manual,0
Royal Enfield Thunder 500,2011,0.81,2.07,7900,Petrol,Individual,Manual,3
grand i10,2015,3.39,5.54,21500,Petrol,Dealer,Manual,0
corolla altis,2008,2.22,17.02,59400,Petrol,Dealer,Manual,1
alto k10,2016,2.93,4.05,9500,Petrol,Dealer,Manual,0
Honda CB Unicorn,2016,0.55,0.75,28800,Petrol,Individual,Manual,0
verna,2015,6.66,9.92,28300,Petrol,Dealer,Manual,0
Hero Extreme,2013,0.41,0.88,17000,Petrol,Individual,Manual,1
Bajaj Pulsar NS 200,2010,0.31,1.03,17400,Petrol,Individual,Manual,1
corolla altis,2010,3.42,11.59,43900,Diesel,Dealer,Manual,0
ciaz,2018,7.4,9.57,21900,Petrol,Dealer,Automatic,0
ciaz,2014,5.67,10.6,15400,Petrol,Dealer,Automatic,0
ciaz,2015,5.34,8.87,22000,Diesel,Dealer,Manual,0
corolla altis,2010,3.57,12.35,42700,Diesel,Dealer,Manual,0
corolla altis,2009,6.52,23.64,87900,Petrol,Dealer,Automatic,3
amaze,2014,3.32,6.34,32300,Petrol,Dealer,Manual,1
fortuner,2012,13.5,28.48,84900,Diesel,Dealer,Automatic,0
sx4,2013,5.01,10.42,37600,Diesel,Dealer,Manual,0
KTM RC200,2015,1.08,1.81,7000,Petrol,Individual,Manual,0
Royal Enfield Bullet 350,2014,0.75,1.29,7800,Petrol,Individual,Manual,0
jazz,2018,6.59,7.93,8700,Petrol,Dealer,Manual,0
ciaz,2016,5.91,8.22,15500,Petrol,Dealer,Manual,0
ciaz,2015,5.75,9.06,11300,Petrol,Dealer,Manual,0
ciaz,2014,6.15,11.31,56000,Diesel,Dealer,Manual,1
eon,2018,3.8,4.6,25600,Petrol,Dealer,Manual,0
i10,2011,1.73,5.15,46000,Petrol,Dealer,Manual,0
dzire,2013,3.65,7.9,47800,Diesel,Dealer,Manual,0
creta,2017,10.64,14.39,16600,Petrol,Dealer,Manual,0
sx4,2010,2.04,8.06,41600,Petrol,Dealer,Manual,0
i10,2013,2.45,4.86,43300,Petrol,Dealer,Manual,0
verna,2011,3.09,9.14,79100,Diesel,Dealer,Manual,1
city,2007,1.27,8.35,42300,Petrol,Dealer,Manual,0
jazz,2018,7.18,8.38,5500,Petrol,Dealer,Manual,0
KTM RC200,2016,1.18,1.81,6300,Petrol,Individual,Manual,0
Bajaj Pulsar  NS 200,2013,0.53,1.1,27000,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2012,0.37,0.94,19900,Petrol,Individual,Manual,0
innova,2004,1.65,14.78,78300,Petrol,Dealer,Manual,0
ritz,2013,2.6,5.4,30400,Petrol,Dealer,Manual,0
i10,2011,2,4.98,58400,Petrol,Dealer,Manual,0
Royal Enfield Thunder 350,2013,0.62,1.33,17200,Petrol,Individual,Manual,0
city,2004,0.56,6.91,56800,Petrol,Dealer,Manual,1
TVS Jupyter,2012,0.18,0.48,29000,Petrol,Individual,Automatic,1
eon,2017,3.65,4.82,9200,Petrol,Dealer,Manual,0
Honda Activa 125,2015,0.34,0.57,26600,Petrol,Individual,Automatic,0
grand i10,2014,2.75,5.24,41200,Diesel,Dealer,Manual,0
swift,2016,4.77,6.47,29700,Diesel,Dealer,Manual,0
Mahindra Mojo XT300,2015,0.89,1.51,48500,Petrol,Individual,Manual,0
city,2016,10.63,15.04,29900,Petrol,Dealer,Manual,0
etios g,2013,3.3,6.21,48100,Petrol,Dealer,Manual,0
etios liva,2015,4.28,6.46,34200,Petrol,Dealer,Manual,0
UM Renegade Mojave,2016,1.35,1.89,2000,Petrol,Individual,Manual,0
jazz,2016,6.28,9.04,3500,Petrol,Dealer,Manual,0
etios liva,2012,2.61,6.24,55500,Petrol,Dealer,Manual,0
innova,2005,1.03,12.84,72100,Petrol,Dealer,Manual,0
Royal Enfield Classic 350,2018,1.29,1.56,7300,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2014,0.71,1.33,25300,Petrol,Individual,Manual,0
i10,2012,2.24,4.71,55400,Petrol,Dealer,Manual,0
alto k10,2015,2.09,3.48,32600,Petrol,Dealer,Manual,1
grand i10,2014,2.79,5.29,33600,Petrol,Dealer,Manual,0
fortuner,2016,23.57,33.77,32300,Diesel,Dealer,Automatic,0
KTM RC390,2016,1.7,2.49,16200,Petrol,Individual,Manual,0
amaze,2016,3.81,5.36,32300,Petrol,Dealer,Manual,0
verna,2012,4.08,8.85,36800,Diesel,Dealer,Manual,0
Hero Passion Pro,2013,0.3,0.57,10600,Petrol,Individual,Manual,0
i20,2011,2.55,7.27,33000,Petrol,Dealer,Manual,0
Hero Splender iSmart,2017,0.41,0.52,7700,Petrol,Individual,Manual,0
ciaz,2018,8.57,10.07,25900,Petrol,Dealer,Automatic,0
Bajaj Avenger 220 dtsi,2008,0.19,0.93,29000,Petrol,Individual,Manual,0
Bajaj Avenger Street 220,2010,0.27,0.86,22900,Petrol,Individual,Manual,0
Honda Activa 4G,2018,0.37,0.48,2800,Petrol,Individual,Automatic,0
city,2014,7.72,13.92,50900,Petrol,Dealer,Manual,0
verna,2010,2.56,9.04,44300,Diesel,Dealer,Manual,0
amaze,2014,3.57,6.74,46200,Petrol,Dealer,Automatic,1
Bajaj Pulsar 150,2014,0.42,0.71,6200,Petrol,Individual,Manual,0
swift,2012,3.18,7.1,52700,Diesel,Dealer,Manual,0
city,2016,8.87,12,12600,Diesel,Dealer,Manual,0
city,2014,8.65,15.22,47600,Petrol,Dealer,Manual,0
sx4,2013,3.88,7.99,41900,CNG,Dealer,Manual,0
Yamaha FZ S V 2.0,2015,0.58,0.89,21900,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2015,0.49,0.76,35700,Petrol,Individual,Manual,0
verna,2015,5.94,10.17,36200,Petrol,Dealer,Manual,0
verna,2015,5.6,9.64,32200,Diesel,Dealer,Manual,0
brio,2014,3.47,5.75,36100,Petrol,Dealer,Manual,0
Honda Karizma,2009,0.31,1.16,260500,Petrol,Individual,Manual,0
Yamaha FZ  v 2.0,2017,0.73,0.91,15900,Petrol,Individual,Manual,0
alto k10,2014,2.39,4.1,49100,Petrol,Dealer,Manual,0
innova,2018,17.88,22.06,6400,Petrol,Dealer,Automatic,0
etios liva,2013,3.49,6.49,59700,Diesel,Dealer,Manual,0
brio,2015,3.75,5.64,14900,Petrol,Dealer,Manual,0
creta,2014,7.44,13.61,79100,Diesel,Dealer,Manual,0
wagon r,2012,1.74,3.97,70400,Petrol,Dealer,Manual,0
ritz,2012,2.37,5.89,45400,Diesel,Dealer,Manual,0
city,2015,5.69,9.58,38600,Diesel,Dealer,Manual,0
Yamaha FZ S V 2.0,2017,0.65,0.89,5200,Petrol,Individual,Manual,0
innova,2016,15.2,22.8,21700,Diesel,Dealer,Automatic,0
amaze,2016,3.84,5.19,32100,Petrol,Dealer,Manual,0
city,2014,5.55,9.33,29900,Petrol,Dealer,Manual,0
Honda Activa 125,2014,0.34,0.62,35500,Petrol,Individual,Automatic,0
innova,2014,7.94,14.84,56300,Diesel,Dealer,Manual,1
etios cross,2015,4.01,6.81,37700,Petrol,Dealer,Manual,0
fortuner,2016,25.83,39.14,8300,Diesel,Dealer,Automatic,0
Bajaj Pulsar 135 LS,2012,0.27,0.62,17000,Petrol,Individual,Manual,0
brio,2010,1.73,5.33,60000,Petrol,Dealer,Manual,0
verna,2018,7.82,9.66,11100,Petrol,Dealer,Manual,0
alto k10,2016,2.96,4.41,33800,Petrol,Dealer,Manual,0
Honda CB Hornet 160R,2018,0.67,0.78,1900,Petrol,Individual,Manual,0
verna,2017,7.71,9.71,15700,Petrol,Dealer,Manual,0
Honda CB Shine,2006,0.1,0.63,56200,Petrol,Individual,Manual,1
land cruiser,2011,26.55,82.41,61500,Diesel,Dealer,Manual,1
Hero Passion X pro,2014,0.34,0.55,44900,Petrol,Individual,Manual,0
i10,2013,2.17,4.25,28200,Petrol,Dealer,Manual,0
s cross,2014,4.11,7.62,35100,Diesel,Dealer,Manual,1
brio,2011,2.03,5.96,63400,Petrol,Dealer,Manual,0
corolla,2003,1.13,13.71,142700,Petrol,Dealer,Automatic,1
Bajaj Avenger 220 dtsi,2009,0.28,1.06,30600,Petrol,Individual,Manual,0
amaze,2016,4.48,6.88,30400,Petrol,Dealer,Automatic,0
Honda CB Shine,2011,0.19,0.56,39200,Petrol,Individual,Manual,0
creta,2017,10.93,13.59,14500,Petrol,Dealer,Manual,0
Royal Enfield Thunder 350,2012,0.66,1.63,6800,Petrol,Individual,Manual,1
Bajaj Pulsar 220 F,2012,0.39,1,36600,Petrol,Individual,Manual,0
brio,2012,2.37,5.97,60700,Petrol,Dealer,Manual,0
alto k10,2011,1.18,3.56,45700,Petrol,Dealer,Manual,0
dzire,2015,4.92,8.14,39200,Diesel,Dealer,Manual,0
wagon r,2014,2.54,4.59,43600,CNG,Dealer,Manual,0
Bajaj Pulsar 150,2015,0.44,0.65,4600,Petrol,Individual,Manual,0
Bajaj Dominar 400,2016,1.17,1.75,1700,Petrol,Individual,Manual,0
verna,2014,5.52,9.82,37100,Diesel,Dealer,Manual,0
grand i10,2014,3.07,5.06,48800,Diesel,Dealer,Manual,0
sx4,2009,2.08,7.31,42900,Petrol,Dealer,Manual,1
Yamaha FZ 16,2014,0.45,0.85,23400,Petrol,Individual,Manual,0
i20,2012,2.95,7.11,44400,Diesel,Dealer,Manual,0
etios cross,2014,4.13,7.1,54100,Petrol,Dealer,Manual,0
verna,2012,4.27,9.54,61100,Diesel,Dealer,Manual,0
etios gd,2016,4.89,6.95,30300,Diesel,Dealer,Manual,0
i10,2010,1.45,4.42,48500,Petrol,Dealer,Manual,1
Bajaj Discover 125,2012,0.22,0.55,22200,Petrol,Individual,Manual,0
Royal Enfield Classic 350,2013,0.75,1.58,26500,Petrol,Individual,Manual,0
Bajaj Avenger Street 220,2011,0.35,0.98,26100,Petrol,Individual,Manual,0
